companyA	automotive	companyB	automotive	7	0.0038888888888888888	0.0015555555555555555
pwc	consulting	deloitte	consulting	1	4e-06	2.898550724637681e-06
fiat	automotive	companyB	automotive	4	2.105263157894737e-05	0.0008888888888888889
mercedes	automotive	porsche	automotive	3	1.7441860465116278e-05	0.00011111111111111112
siemens	technology	mclaren	automotive	1	2.597402597402597e-06	0.0002632964718272775
companyA	automotive	companyD	automotive	1	0.0005555555555555556	0.006666666666666667
bmw	automotive	audi	automotive	1	7.751937984496124e-06	1.1764705882352942e-05
luxottica	retail	companyB	automotive	2	2.5e-05	0.00044444444444444447
crif	banking	kpmg	consulting	1	0.0002380952380952381	4.566210045662101e-06
bnp	banking	companyB	automotive	1	5.263157894736842e-06	0.00022222222222222223
deloitte	consulting	valeo	automotive	1	2.898550724637681e-06	1.0893246187363834e-05
alfa	automotive	companyC	automotive	3	3.4883720930232556e-05	0.01
kpmg	consulting	louis vuitton	fation	1	4.566210045662101e-06	1.6666666666666667e-05
italdesign	technology	companyC	automotive	1	0.0010070493454179255	0.0033333333333333335
companyD	automotive	companyB	automotive	1	0.006666666666666667	0.00022222222222222223
fca	automotive	companyB	automotive	19	0.00010052910052910053	0.004222222222222222
cranfield university	academia	peugeot	automotive	1	0.0005555555555555556	4.784688995215311e-06
nissan	automotive	bentley	automotive	1	7.3529411764705884e-06	0.00025
companyA	automotive	bentley	automotive	1	0.0005555555555555556	0.00025
louis vuitton	fation	mercedes	automotive	1	1.6666666666666667e-05	5.813953488372093e-06
honda	automotive	companyB	automotive	2	9.569377990430622e-06	0.00044444444444444447
volkswagen	automotive	companyC	automotive	2	2.9806259314456037e-06	0.006666666666666667
technogym	retail	companyB	automotive	3	0.0013043478260869566	0.0006666666666666666
porsche	automotive	companyA	automotive	3	0.00011111111111111112	0.0016666666666666668
mediagroup98	communication	companyB	automotive	1	0.003703703703703704	0.00022222222222222223
alliance	banking	aston	automotive	1	0.0033333333333333335	0.00040816326530612246
alma	automotive	bieffe	technology	1	0.023809523809523808	0.02
